Location,Latitude,Longitude,Cluster,Frequency
Jogeshwari,19.134899,72.84882,3,42
Goregaon,19.16455,72.84917,3,67
Santacruz,19.08177,72.84122,3,85
Wadala,19.026062,72.870178,1,16
Mira Road,19.29558,72.86781,2,22
Thane,19.21833,72.978088,4,89
Ghatkopar,19.08693,72.90802,0,62
Dadar,19.02318,72.83956,1,78
Andheri,19.11968,72.84691,3,93
Khar,19.06985,72.83522,3,42
Dombivli,19.20956,73.093849,4,15
Borivali,19.22936,72.85751,2,75
Kandivali,19.207969,72.83711,2,56
Powai,19.11872,72.907349,0,48
Malad,19.18655,72.84837,2,64
Marine Lines,18.94441,72.82313,1,17
Sion,19.041611,72.864502,1,35
Matunga,19.02793,72.854789,1,31
Vashi,19.07719,73.02182,0,79
Chembur,19.0622,72.90219,0,58
Colaba,18.91542,72.82576,1,26
Kalyan,19.247141,73.128181,4,24
Mumbai Central,18.96962,72.81957,1,36
Bandra,19.054444,72.840278,3,67
Andheri,19.119219,72.846448,3,39
Worli,19.008784,72.815968,1,72
Thane,19.21833,72.978088,4,48
Mumbai Central,18.96961,72.81947,1,91
Goregaon,19.16455,72.84924,3,25
Dadar,19.021324,72.842227,1,87
Kurla,19.077232,72.884034,0,61
Powai,19.11872,72.907348,0,56
Chembur,19.0622,72.902401,0,42
Lower Parel,18.995278,72.83,1,78
Malad,19.18655,72.84841,2,34
Borivali,19.229456,72.857588,2,51
Santacruz,19.081667,72.841389,3,59
Ghatkopar,19.0865,72.90841,0,46
Vikhroli,19.111511,72.928947,0,32
Mulund,19.172278,72.956848,4,40
Mahim,19.035,72.839167,1,53
Kandivali,19.207112,72.842319,2,27
Jogeshwari,19.134167,72.848056,3,36
Bhandup,19.1425,72.938056,0,31
Sion,19.046521,72.863169,3,55
Vile Parle,19.100239,72.840409,3,44
Dahisar,19.249883,72.859024,2,24
